Ns,Np,UA_w_per_k,peak_current_a,peak_temp_k,viol_temp,viol_soc
32,4,4.0,100.0,298.30895484689717,0,1
32,4,6.0,40.0,298.1722237717106,0,0
32,4,6.0,60.0,298.20000612250743,0,0
32,4,6.0,80.0,298.23890633505005,0,1
32,4,6.0,100.0,298.28892933212444,0,1
32,4,8.0,40.0,298.16963604728505,0,0
32,4,8.0,60.0,298.1941832788002,0,0
32,4,8.0,80.0,298.22855345856175,0,1
32,4,8.0,100.0,298.2727506432805,0,1
32,4,12.0,40.0,298.1657853349879,0,0
32,4,12.0,60.0,298.185518525052,0,0
32,4,12.0,80.0,298.21314783125916,0,1
32,4,12.0,100.0,298.2486760944111,0,1
40,1,4.0,40.0,298.27715669356087,0,1
40,1,4.0,60.0,298.43618339292306,0,1
40,1,4.0,80.0,298.65897175553386,0,1
40,1,4.0,100.0,298.9456729818253,0,1
40,1,6.0,40.0,298.26113760613816,0,1
40,1,6.0,60.0,298.40012554397435,0,1
40,1,6.0,80.0,298.5948318020181,0,1
40,1,6.0,100.0,298.8453796951905,0,1
40,1,8.0,40.0,298.2481956859148,0,1
40,1,8.0,60.0,298.3709946242676,0,1
40,1,8.0,80.0,298.54301461529093,0,1
40,1,8.0,100.0,298.76435727037574,0,1
40,1,12.0,40.0,298.22893749407467,0,1
40,1,12.0,60.0,298.3276474081251,0,1
40,1,12.0,80.0,298.46591234588874,0,1
40,1,12.0,100.0,298.64380345110817,0,1
40,2,4.0,40.0,298.21357116368335,0,1
40,2,4.0,60.0,298.29305532115063,0,1
40,2,4.0,80.0,298.40437086565396,0,1
40,2,4.0,100.0,298.54755554833446,0,1
40,2,6.0,40.0,298.2055629441807,0,1
40,2,6.0,60.0,298.27503310284516,0,1
40,2,6.0,80.0,298.3723220941528,0,1
40,2,6.0,100.0,298.49746070849386,0,1
40,2,8.0,40.0,298.19909301477884,0,1
40,2,8.0,60.0,298.2604728627535,0,1
40,2,8.0,80.0,298.34643000576136,0,1
40,2,8.0,100.0,298.4569898163872,0,1
40,2,12.0,40.0,298.18946536592193,0,1
40,2,12.0,60.0,298.2388065828699,0,1
40,2,12.0,80.0,298.30790204250206,0,1
40,2,12.0,100.0,298.39676951142013,0,1
40,3,4.0,40.0,298.1923791797148,0,0
40,3,4.0,60.0,298.2453621326331,0,1
40,3,4.0,80.0,298.31955502973017,0,1
40,3,4.0,100.0,298.41497464204116,0,1
40,3,6.0,40.0,298.1870406609446,0,0
40,3,6.0,60.0,298.2333488102694,0,1
40,3,6.0,80.0,298.29819389198155,0,1
40,3,6.0,100.0,298.38158958502527,0,1
40,3,8.0,40.0,298.18272760369575,0,0
