Ns,Np,UA_w_per_k,peak_current_a,peak_temp_k,RTE_percent,energy_out_wh,energy_in_wh,viol_temp,viol_soc
24,1,4.0,40.0,298.2262871202546,99.44950500762539,16.52170120806663,16.613155798814496,0,1
24,1,4.0,60.0,298.32167511420164,129.913367529807,24.970255306540757,19.220697439631564,0,1
24,1,4.0,80.0,298.45527263464515,200.02035839468468,33.33217883936342,16.664393118220303,0,1
24,1,4.0,100.0,298.62713405731984,318.1957961165363,41.711311956553324,13.108693598603338,0,1
24,1,6.0,40.0,298.2166769390637,99.44950791568989,16.521701450280364,16.613155556573425,0,1
24,1,6.0,60.0,298.300046843026,129.91337866001794,24.97025653288081,19.220696736883223,0,1
24,1,6.0,80.0,298.4168090211102,200.02039231653376,33.33218271579225,16.664392230090133,0,1
24,1,6.0,100.0,298.56700782251505,318.1958751362251,41.711321422338905,13.108693318064407,0,1
24,1,8.0,40.0,298.20891277642914,99.44951040528387,16.521701657640197,16.613155349191523,0,1
24,1,8.0,60.0,298.2825733023807,129.91338828371002,24.9702575827526,19.220696121189263,0,1
24,1,8.0,80.0,298.3857345550103,200.0204218522884,33.33218603440399,16.664391428500853,0,1
24,1,8.0,100.0,298.518433079553,318.19594337612966,41.71132952598312,13.108693053536964,0,1
24,1,12.0,40.0,298.19735925053067,99.44951440479409,16.521701990763205,16.61315501603571,0,1
24,1,12.0,60.0,298.2565720080354,129.91340395357958,24.970259269364114,19.22069510108937,0,1
24,1,12.0,80.0,298.33949543952593,200.02047044205617,33.332191365709406,16.664390045700546,0,1
24,1,12.0,100.0,298.4461551344762,318.19605446543585,41.71134254431468,13.1086925682938,0,1
24,2,4.0,40.0,298.188140974459,99.29913090924433,16.211933277729926,16.32635968641762,0,1
24,2,4.0,60.0,298.23582446481066,98.89712733237806,24.545490115096786,24.81921444755737,0,1
24,2,4.0,80.0,298.30259492881686,99.4494748755159,33.043397396634965,33.22631661755524,0,1
24,2,4.0,100.0,298.3884659498448,106.19307341961563,41.50511077746467,39.084574389762395,0,1
24,2,6.0,40.0,298.18333636052563,99.29913164840013,16.211933338280733,16.32635962586681,0,1
24,2,6.0,60.0,298.22501274283104,98.89712978906043,24.545490421651873,24.819214141002288,0,1
24,2,6.0,80.0,298.28337075250136,99.44948069214826,33.04339836557399,33.22631564850679,0,1
24,2,6.0,100.0,298.3584214685614,106.19308513579774,41.505113143269426,39.084572305431614,0,1
24,2,8.0,40.0,298.17945465022325,99.29913228119366,16.211933390118464,16.32635957402908,0,1
24,2,8.0,60.0,298.21627785115714,98.89713189223262,24.545490684094474,24.819213878559683,0,1
24,2,8.0,80.0,298.26783945862553,99.44948567176236,33.04339919508451,33.226314818907944,0,1
24,2,8.0,100.0,298.3341486024065,106.19309519683517,41.50511516863716,39.084570509697436,0,1
24,2,12.0,40.0,298.173678408162,99.29913329777594,16.21193347339573,16.32635949075181,0,1
24,2,12.0,60.0,298.203279841502,98.89713527097221,24.54549110570769,24.81921345694647,0,1
24,2,12.0,80.0,298.24472823906376,99.44949367145013,33.043400527687986,33.22631348617319,0,1
24,2,12.0,100.0,298.29802999404166,106.19311142378602,41.50511842236968,39.08456760131525,0,1
24,3,4.0,40.0,298.1754267417503,99.55879599162925,16.124197255442382,16.195653126217074,0,0
24,3,4.0,60.0,298.20721340089335,99.29912708003663,24.317899446068306,24.489540000152978,0,1
24,3,4.0,80.0,298.2517207574468,98.99697045144273,32.6191124192009,32.94960671064205,0,1
24,3,4.0,100.0,298.30895484689717,98.91964257291505,41.03370500121357,41.48185732774666,0,1
24,3,6.0,40.0,298.1722237717106,99.55879632322086,16.12419728235346,16.195653099305993,0,0
24,3,6.0,60.0,298.20000612250743,99.29912818879428,24.317899582310574,24.48953986391071,0,1
24,3,6.0,80.0,298.23890633505005,98.99697305211147,32.61911284981556,32.9496062800274,0,1
24,3,6.0,100.0,298.28892933212444,98.91964761461051,41.033706052587306,41.48185627637294,0,1
24,3,8.0,40.0,298.16963604728505,99.55879660709753,16.124197305392126,16.19565307626733,0,0
24,3,8.0,60.0,298.1941832788002,99.29912913800497,24.317899698947972,24.4895397472733,0,1
24,3,8.0,80.0,298.22855345856175,98.99697527855035,32.619113218465806,32.949605911377155,0,1
24,3,8.0,100.0,298.2727506432805,98.91965193081535,41.033706952670265,41.48185537628998,0,1
24,3,12.0,40.0,298.1657853349879,99.55879706314529,16.12419734240373,16.195653039255724,0,0
24,3,12.0,60.0,298.185518525052,99.29913066291022,24.31789988632575,24.48953955989553,0,1
24,3,12.0,80.0,298.21314783125916,98.99697885531585,32.619113810700995,32.949605319141966,0,1
24,3,12.0,100.0,298.2486760944111,98.91965886477057,41.03370839864764,41.481853930312596,0,1
24,4,4.0,40.0,298.16906984085904,99.6755402177127,16.08286196673332,16.13521424775317,0,0
24,4,4.0,60.0,298.1929089598612,99.49772734242337,24.218140323580993,24.340395474796914,0,0
24,4,4.0,80.0,298.2262871202546,99.29912325070957,32.423865300702765,32.65272062759232,0,1
24,4,4.0,100.0,298.2692077165577,99.0657016234093,40.70991008690971,41.09384925336251,0,1
24,4,6.0,40.0,298.1666676530473,99.67554040503983,16.082861981870693,16.135214232615795,0,0
24,4,6.0,60.0,298.1875037021587,99.4977279705362,24.21814040021602,24.34039539816188,0,0
24,4,6.0,80.0,298.2166769390637,99.29912472908515,32.423865542916495,32.652720385378586,0,1
24,4,6.0,100.0,298.2541901324847,99.06570448811252,40.709910678280686,41.09384866199151,0,1
24,4,8.0,40.0,298.1647268906423,99.67554056541117,16.082861994829845,16.13521421965664,0,0
